view,weight,eta2_year,umap_min,hdbscan_min,n_clusters,noise_frac,silhouette,ARI_vs_zero,NMI_vs_zero
temporal,0.0,0.28401473005957556,0.44927215576171875,0.007026080290476481,40,0.359994640943194,0.5106118321418762,1.0,1.0
temporal,0.05,0.21502460064078066,0.1924593965212504,0.006393225987752279,35,0.3386923901393355,0.5145392417907715,0.48655453410128263,0.7082844985000938
temporal,0.15,0.24581985842019338,0.20635563929875692,0.006523323059082031,37,0.3417738478027867,0.4909142255783081,0.4989808377705349,0.7147875661995344
temporal,0.3,0.35859155529791786,0.21385013262430827,0.0062236825625101725,40,0.3342711682743837,0.4791295826435089,0.4621626069127026,0.6940791545118029
temporal,0.6,0.7305161766891891,0.21821598609288534,0.006470672289530436,36,0.3094855305466238,0.4653365910053253,0.40393876651604105,0.6649591644408239
cpc,0.0,0.17141392458758564,0.18747517267862956,0.006588455041249593,42,0.3437834941050375,0.49673834443092346,1.0,1.0
cpc,0.15,0.1848011319448458,0.22666603724161785,0.007030308246612549,42,0.3396302250803859,0.49976062774658203,0.47423125150065776,0.7162266339593175
cpc,0.3,0.28401473005957556,0.21120736201604207,0.005958739916483561,40,0.359994640943194,0.5106118321418762,0.3596536813067094,0.6179662519418929
cpc,0.6,0.5362611938684392,0.19391462008158367,0.006348955631256104,35,0.3291800643086817,0.47733667492866516,0.11844876783998323,0.3953960466978117
